ParaId,Chapter,Title,SectionTitle,SubsectionTitle,Source,FeatureType,ParaText
0,Chapter 5,"Wages, salaries, and other earnings",,,TaxCode,TAXCODE,ey.com/EYTaxGuide
1,Chapter 5,"Wages, salaries, and other earnings",,,EY,Note,IRS Publication 17 (Your Federal Income Tax) has been updated by Ernst & Young LLP for 2016. Dates and dollar amounts shown are for 2016. Underlined type is used to indicate where IRS text has been updated. Places where text has been removed are indicated by the sentence: Text intentionally omitted. ey.com/EYTaxGuide Ernst & Young LLP will update the EY Tax Guide 2017 website with relevant taxpayer information as it becomes available. You can also sign up for email alerts to let you know when changes have been made.
2,Chapter 5,"Wages, salaries, and other earnings",,,EY,Introduction,"Ask most people how much they get paid, and, if they are willing to admit anything, they'll tell you what their salary is. Usually, there's more to income than that. The way the IRS sees it, “gross income means all income from whatever source derived.” That means not only is your salary subject to tax, but so are many of the fringe benefits provided by your employer that you might receive—everything from country club memberships and employer-provided discounts to a company car. This chapter spells out in greater detail items of compensation that are taxable. Some fringe benefits you receive from your employer are tax-free. For example, the cost of the first $50,000 of coverage in a group term life insurance plan will be tax-free if all employees in the plan are treated in the same way. But, if your employer, in a moment of detached and disinterested generosity, presents you with a Rolls Royce as a gift, you will probably have to pay taxes on it. This chapter prepares you—in a tax sense—for whatever lies ahead."
3,Chapter 5,"Wages, salaries, and other earnings",What's New,,EY,TAXPLANNER,"Limit on elective deferrals. The maximum amount of elective deferrals under a salary reduction agreement that can be contributed to a qualified plan (such as a Section 401(k) or 403(b) plan) in 2016 is $18,000 ($24,000 if you were age 50 or older). For more information, see the TaxPlanner regarding elective deferrals in chapter 10, Retirement plans, pensions, and annuities."
4,Chapter 5,"Wages, salaries, and other earnings",Reminder,,TaxCode,TAXCODE,"Foreign income. If you are a U.S. citizen or resident alien, you must report income from sources outside the United States (foreign income) on your tax return unless it is exempt by U.S. law. This is true whether you reside inside or outside the United States and whether or not you receive a Form W-2, Wage and Tax Statement, or Form 1099 from the foreign payer. This applies to earned income (such as wages and tips) as well as unearned income (such as interest, dividends, capital gains, pensions, rents, and royalties)."
5,Chapter 5,"Wages, salaries, and other earnings",Reminder,,EY,Tax Breaks and Deductions You Can Use Checklist,"Withholding on wages. If you're getting a very large refund when you file your return, remember that you can claim withholding allowances based on your expected deductions for 2017. Claiming more allowances will increase the amount of your take-home pay. For more details, see Getting the Right Amount of Tax Withheld in chapter 4, Tax withholding and estimated tax. Health flexible spending arrangements (FSAs). If your employer provides you with an FSA (also known as a cafeteria plan), consider taking advantage of it. You can contribute part of your salary to the arrangement on a pre-tax basis (not subject to income, social security, or Medicare taxes). You can then pay for qualified health care expenses (including prescription medication and insurance co-payments) tax-free. FSA coverage and reimbursement are allowed for your children who are under age 27 as of the end of your tax year. For more details, see Cafeteria Plans in chapter 22, Medical and dental expenses. 401(k) and 403(b) plan contributions. You can reduce your taxable wages (and your tax bill) by contributing on a pre-tax basis to a 401(k) or 403(b) plan sponsored by your employer. In 2016, you can contribute up to $18,000 ($24,000 if you are 50 or older by the end of the year). For more details, see chapter 10, Retirement plans, pensions, and annuities. Disability income. If you become disabled, any benefits paid to you while you can't work are usually taxable income. But if an insurance company pays the benefits, and the premium payments were originally taxable to you, those benefits will not be taxable. Check to see how your employer treats those premium payments. For more details, see Disability Pensions in chapter 10, Retirement plans, pensions, and annuities. Health savings accounts (HSAs). If you are covered by a health plan with a high deductible amount (HDHP) and meet other certain requirements, you may want to consider establishing a health savings account (HSA). Contributions made by you would be a deduction from your adjusted gross income, and contributions by your employer are excluded from your income and are not subject to employment taxes. Similar to FSAs, HSA's coverage and reimbursement are now allowed for your children under age 27 as of the end of your tax year. For frequently asked questions related to HSAs, see Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans, and additional information included in this chapter."
6,Chapter 5,"Wages, salaries, and other earnings",Reminder,,TaxCode,TAXCODE,"If you reside outside the United States, you may be able to exclude part, or all, of your foreign source earned income. For details, see Publication 54, Tax Guide for U.S. Citizens and Resident Aliens Abroad."
7,Chapter 5,"Wages, salaries, and other earnings",Reminder,,EY,TAXALERT,"Foreign earned income exclusion. If you qualify, you may elect to exclude a maximum of $101,300 in foreign earned income from your U.S. taxable income in 2016. The amount of the exclusion is indexed annually for inflation. For more information on the foreign earned income exclusion, see The Foreign Earned Income Exclusion in chapter 42, U.S. citizens working abroad: Tax treatment of foreign earned income."
8,Chapter 5,"Wages, salaries, and other earnings",Reminder,,TaxCode,TAXCODE,"This chapter discusses compensation received for services as an employee, such as wages, salaries, and fringe benefits. The following topics are included. §  Bonuses and awards. §  Special rules for certain employees. §  Sickness and injury benefits. The chapter explains what income is included in the employee's gross income and what is not included."
9,Chapter 5,"Wages, salaries, and other earnings",Reminder,,EY,EXPLANATION,"One of the most important decisions you have to make in determining your correct taxable income is what payments to include. A taxable payment is not limited to cash. It may be property, stock, or other assets. Also, you must include in your gross income the fair market value of payments in kind. Example 1 Your employer provides you with a car that is used for both personal and business purposes. The value of the personal use of the car is included in earnings and it is taxable to you. Example 2 You assist a group of investors in purchasing a piece of real estate. In consideration of your services, the investors award you an unconditional percentage of ownership in the acquired asset. You have invested none of your personal funds. The fair market value of your ownership interest is considered as compensation taxable to you in the year the transfer is completed. Example 3 A farmer receives 50 bushels of wheat as a payment in kind. Unless specifically excluded under a government program, the farmer has income to the extent of the fair market value of the wheat."
10,Chapter 5,"Wages, salaries, and other earnings",Reminder,Useful Items,TaxCode,TAXCODE,You may want to see:
11,Chapter 5,"Wages, salaries, and other earnings",Reminder,Publication,TaxCode,TAXCODE,"□ 463 Travel, Entertainment, Gift, and Car Expenses □ 525 Taxable and Nontaxable Income □ 554 Tax Guide for Seniors □ 926 Household Employer's Tax Guide □ 3920 Tax Relief for Victims of Terrorist Attacks"
12,Chapter 5,"Wages, salaries, and other earnings",Reminder,Publication,EY,EXPLANATION,"Other useful publications and references include: ·    Publication 15, Circular E, Employer's Tax Guide; chapter 5, Wages and Other Compensation ·    Publication 15-B, Employer's Tax Guide to Fringe Benefits; chapter 1, Fringe Benefit Overview These and other IRS publications are available online at www.irs.gov."
13,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,,TaxCode,TAXCODE,"This section discusses various types of employee compensation including fringe benefits, retirement plan contributions, stock options, and restricted property."
14,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,,EY,EXPLANATION,"All compensation for personal services, no matter what the form of payment, must be included in gross income. Such compensation is subject to taxes in the year received, unless the taxpayer reports income on the accrual basis. If you perform services and decide that payment for them should be made to another person, the monies remitted to the third party are taxable to you. The IRS and the courts have long held that “fruits” of a taxpayer's labor are attributable to the “tree” that grew them. Furthermore, you may not render services and then ask your employer to hold the funds in an attempt to artificially control when the wages will be included in your taxable income. Example You are due compensation for work you performed. You advise the payer to hold the money because you will not require the funds immediately. The payer credits the payment due to you on the company books. You do not request the money until after the close of the tax year in which the services were rendered. The IRS may hold that you were in constructive receipt of the funds before year's end. The compensation may have to be included in your income for the year in which the payment could have been received, even though you were not actually paid until later."
15,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,,EY,TAXPLANNER,"You will have a problem with the IRS if you ask your employer after you have performed the work to withhold funds in an attempt to artificially control when the wages will be included in your taxable income. If you make arrangements to defer receipt of income prior to commencing work, you may not have a problem as long as the arrangement meets the requirements of the law. However, if your employer requires you to take your bonus in a later year, then it is not taxable to you until the year in which you receive it."
16,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,,EY,EXAMPLE,"If you arrange to have your employer pay your year-end bonus over a 5-year period, the IRS will not claim that you were in constructive receipt of the entire bonus at the end of the first year if the deferral of your bonus is within the strict nonqualified deferred compensation rules. (These rules are complex. Your employer will likely provide you with guidelines if you are eligible to participate in such a plan. Also, consider consulting with your tax advisor.) You may even arrange to have your employer add interest to your deferred bonus. You must make these arrangements prior to performance of the work for which the bonus will be paid. Keep in mind these types of arrangements must meet a complicated set of requirements, which have been in place since 2004. (You should consider consulting your tax advisor for specific guidance.)"
17,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,,TaxCode,TAXCODE,"Form W-2. If you are an employee, you should receive Form W-2 from your employer showing the pay you received for your services. Include your pay on line 7 of Form 1040 or Form 1040A, or on line 1 of Form 1040EZ, even if you do not receive a Form W-2. In some instances your employer is not required to give you a Form W-2. Your employer is not required to give you a Form W-2 if you perform household work in your employer's home for less than $1,900 in cash wages during the calendar year and you have no federal income taxes withheld from your wages. Household work is work done in or around an employer's home. Some examples of workers who do household work are: §  Babysitters, §  Caretakers, §  House cleaning workers, §  Domestic workers, §  Drivers, §  Health aides, §  Housekeepers, §  Maids, §  Nannies, §  Private nurses, and §  Yard workers. See Schedule H (Form 1040), Household Employment Taxes, and its instructions, and Publication 926, Household Employer's Tax Guide, for more information. If you performed services, other than as an independent contractor, and your employer did not withhold social security and Medicare taxes from your pay, you must file Form 8919, Uncollected Social Security and Medicare Tax on Wages, with your Form 1040. See Form 8919 and its instructions for more information on how to calculate unreported wages and taxes and how to include them on your income tax return."
18,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,,EY,EXPLANATION,"For 2016, your employer is required to furnish your W-2 to you no later than February 1, 2017. If a Form W-2 is not received from your employer by the tax filing deadline, Form 4852, the substitute for W-2, should be attached to the return. If you leave your job prior to December 31, 2016, and are not expecting to return to it prior to the calendar year-end, you can request a copy of your W-2 in writing from your employer and they are required to provide a copy to you within 30 days of the request if the 30-day period ends before February 1, 2017."
19,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,,TaxCode,TAXCODE,"Childcare providers. If you provide childcare, either in the child's home or in your home or other place of business, the pay you receive must be included in your income. If you are not an employee, you are probably self-employed and must include payments for your services on Schedule C (Form 1040), Profit or Loss From Business, or Schedule C-EZ (Form 1040), Net Profit From Business. You generally are not an employee unless you are subject to the will and control of the person who employs you as to what you are to do and how you are to do it. Babysitting. If you are paid to babysit, even for relatives or neighborhood children, whether on a regular basis or only periodically, the rules for childcare providers apply to you."
20,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,TaxCode,TAXCODE,"This section discusses different types of employee compensation. Advance commissions and other earnings. If you receive advance commissions or other amounts for services to be performed in the future and you are a cash-method taxpayer, you must include these amounts in your income in the year you receive them. If you repay unearned commissions or other amounts in the same year you receive them, reduce the amount included in your income by the repayment. If you repay them in a later tax year, you can deduct the repayment as an itemized deduction on your Schedule A (Form 1040), or you may be able to take a credit for that year. See Repayments in chapter 12."
21,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,EXPLANATION,"In some cases, an advance payment of a commission or salary may be considered a loan, thus permitting you to delay paying tax on that amount. If the loan is repaid, you will not have to recognize any taxable income. If the loan is forgiven, you will recognize the amount of the loan as compensation in the year in which it was forgiven. See Canceled Debts in chapter 12, Other income, for a complete discussion. Commissions and salaries are considered to be income when they are paid to you or when they are applied as a reduction to your loan account. The key question is: When may a payment be characterized as a loan? Generally, for a transaction to be considered a loan, a debtor-creditor relationship must exist from the beginning. In other words, the lending party expects and will eventually receive monetary repayment. Payment in return for a future obligation to render services is not a loan. Thus, an advance on your wages is not a loan. Whether a payment is or is not a loan is usually a question of fact, requiring a review of each case's unique circumstances. Example If you receive an advance of your January 2017 salary on December 31, 2016, you will have taxable income in 2017."
22,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,TAXSAVER,"Generally, you should take advantage of your employer's 401(k) plan or 403(b) plan. Your contribution to the plan will not be included in your taxable wages. See chapter 10, Retirement plans, pensions, and annuities, for more information about these plans."
23,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,TAXPLANNER,"You may wish to consider a loan from your employer's qualified pension or annuity plan rather than an advance on your next year's salary. Loans are not considered taxable income to the borrower under most circumstances. See chapter 10, Retirement plans, pensions, and annuities, for rules regarding loans from an employer's qualified pension or annuity plan."
24,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,TAXALERT,"Owner-employees, such as S corporation shareholders, partners, and sole proprietors, are able to borrow from their pension plans without being subject to a penalty tax."
25,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,TaxCode,TAXCODE,"Allowances and reimbursements. If you receive travel, transportation, or other business expense allowances or reimbursements from your employer, see Publication 463. If you are reimbursed for moving expenses, see Publication 521, Moving Expenses. Back pay awards. If you receive an amount in payment of a settlement or judgment for back pay, you must include the amount of the payment in your income. This includes payments made to you for damages, unpaid life insurance premiums, and unpaid health insurance premiums. They should be reported to you by your employer on Form W-2."
26,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,EXPLANATION,"If you received an amount in settlement or judgment for back wages and liquidated damages (e.g., under Title VII as amended by the 1991 Civil Rights Act), see Court Awards and Damages in chapter 12, Other income. Generally, awards intended to replace lost wages are included in your taxable income."
27,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,TAXPLANNER,"Prior to entering any settlement agreement, you should consult with a tax advisor to ensure that you negotiate the most tax-favorable terms."
28,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,TaxCode,TAXCODE,"Bonuses and awards. If you receive a bonus or award (cash, goods, services) from your employer, you must include its value in your income. However, if your employer merely promises to pay you a bonus or award at some future time, it is not taxable until you receive it or it is made available to you. Employee achievement award. If you receive tangible personal property (other than cash, a gift certificate, or an equivalent item) as an award for length of service or safety achievement, you generally can exclude its value from your income. The amount you can exclude is limited to your employer's cost and cannot be more than $1,600 for qualified plan awards or $400 for nonqualified plan awards for all such awards you receive during the year. Your employer can tell you whether your award is a qualified plan award. Your employer must make the award as part of a meaningful presentation, under conditions and circumstances that do not create a significant likelihood of it being disguised pay. However, the exclusion does not apply to the following awards: §  A length-of-service award if you received it for less than 5 years of service or if you received another length-of-service award during the year or the previous 4 years. §  A safety achievement award if you are a manager, administrator, clerical employee, or other professional employee or if more than 10% of eligible employees previously received safety achievement awards during the year. Example. Ben Green received three employee achievement awards during the year: a nonqualified plan award of a watch valued at $250, two qualified plan awards of a stereo valued at $1,000 and a set of golf clubs valued at $500. Assuming that the requirements for qualified plan awards are otherwise satisfied, each award by itself would be excluded from income. However, because the $1,750 total value of the awards is more than $1,600, Ben must include $150 ($1,750 – $1,600) in his income. Differential wage payments. This is any payment made to you by an employer for any period during which you are, for a period of more than 30 days, an active duty member of the uniformed services and represents all or a portion of the wages you would have received from the employer during that period. These payments are treated as wages and are subject to income tax withholding, but not FICA or FUTA taxes. The payments are reported as wages on Form W-2. Government cost-of-living allowances. Most payments received by U.S. government civilian employees for working abroad are taxable. However, certain cost-of-living allowances are tax free. Publication 516, U.S. Government Civilian Employees Stationed Abroad, explains the tax treatment of allowances, differentials, and other special pay you receive for employment abroad."
29,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,EXPLANATION,"Prior to January 1, 2010, government cost-of-living allowances paid to federal civilian employees stationed outside the continental U.S. (other than Alaska) were tax-exempt for those employees whose compensation was set by statute. After January 1, 2010, employees who received this type of compensation will receive a taxable payment based on the location of their work."
30,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,TaxCode,TAXCODE,"Nonqualified deferred compensation plans. Your employer may report to you the total amount of deferrals for the year under a non-qualified deferred compensation plan on Form W-2, box 12, using code Y. This amount is not included in your income. However, if at any time during the tax year, the plan fails to meet certain requirements, or is not operated under those requirements, all amounts deferred under the plan for the tax year and all preceding tax years to the extent vested and not previously included in income are included in your income for the current year. This amount is included in your wages shown on Form W-2, box 1. It is also shown on Form W-2, box 12, using code Z."
31,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,TAXALERT,"Under a change made by a 2008 tax act, nonqualified deferred compensation paid for services performed after 2008 by an offshore corporation or partnership situated in a low or no-tax jurisdiction (a so-called tax-indifferent corporation or partnership) is included in the income of the employee or service provider when there is no substantial risk of forfeiture. Substantial risk of forfeiture exists if a person's rights to compensation are conditioned on the future performance of substantial services. These rules are complex. See your tax advisor for more information if this may affect you."
32,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,TaxCode,TAXCODE,"Note received for services. If your employer gives you a secured note as payment for your services, you must include the fair market value (usually the discount value) of the note in your income for the year you receive it. When you later receive payments on the note, a proportionate part of each payment is the recovery of the fair market value that you previously included in your income. Do not include that part again in your income. Include the rest of the payment in your income in the year of payment. If your employer gives you a nonnegotiable unsecured note as payment for your services, payments on the note that are credited toward the principal amount of the note are compensation income when you receive them. Severance pay. If you receive a severance payment when your employment with your employer ends or is terminated, you must include this amount in your income. Accrued leave payment. If you are a federal employee and receive a lump-sum payment for accrued annual leave when you retire or resign, this amount will be included as wages on your Form W-2. If you resign from one agency and are reemployed by another agency, you may have to repay part of your lump-sum annual leave payment to the second agency. You can reduce gross wages by the amount you repaid in the same tax year in which you received it. Attach to your tax return a copy of the receipt or statement given to you by the agency you repaid to explain the difference between the wages on the return and the wages on your Forms W-2. Outplacement services. If you choose to accept a reduced amount of severance pay so that you can receive outplacement services (such as training in résumé writing and interview techniques), you must include the unreduced amount of the severance pay in income. However, you can deduct the value of these outplacement services (up to the difference between the severance pay included in income and the amount actually received) as a miscellaneous deduction (subject to the 2%-of-adjusted-gross-income (AGI) limit) on Schedule A (Form 1040). Sick pay. Pay you receive from your employer while you are sick or injured is part of your salary or wages. In addition, you must include in your income sick pay benefits received from any of the following payers: §  A welfare fund. §  A state sickness or disability fund. §  An association of employers or employees. §  An insurance company, if your employer paid for the plan. However, if you paid the premiums on an accident or health insurance policy yourself, the benefits you receive under the policy are not taxable. For more information, see Publication 525. Social security and Medicare taxes paid by employer. If you and your employer have an agreement that your employer pays your social security and Medicare taxes without deducting them from your gross wages, you must report the amount of tax paid for you as taxable wages on your tax return. The payment also is treated as wages for figuring your social security and Medicare taxes and your social security and Medicare benefits. However, these payments are not treated as social security and Medicare wages if you are a household worker or a farm worker."
