qid,qtext
580,Can I delay paying taxes on my advanced commissionsalary? 
1188,I received a dividend from a corporation that is in a country without a treaty can it be a qualified foreign corporation?
1072,If I purchased but did not cash a coowned bond who needs to report the interest income?
15,I work for a state or local government or a taxexempt organization how does that affect my deferred compensation plan options?
589,My employer promised a bonusaward Do I need to include it as income? 
1378,What for do I use for section 179 depreciable expenses for my rental property?
1374,My spouse and I both equally own and work on our rental property Would we qualify as a joint venture?
1196,Does the US have a treaty with France?
990,Should the discount of a debt instrument purchased with de minimis OID be contained in the taxpayers income?
869,Are there exceptions to the penalty for not reporting tips?
1292,If I rent out my home do I include proceeds in income?
344,What is shown on box RRB1099?
232,What methods of rolling over my eligible distributions are available for me?
753,When can I exclude employee awards from my taxable income?
748,Are loans from my employer taxable income?
1592,Do I have to include fringe benefits as income?
1770,Is my annuity payment taxable?
154,As a public safety employee are my early distributions from my pension plan subject to an additional tax?
1830,How do I withhold additional income from my paycheck?
375,Can you provide an example of determining if my benefits are taxable?
525,Can accelerated death benefits of a life insurance policy be excluded from income?
1759,What are the minimum distribution rules?
122,If I rollover from a nonRoth account to a Roth account in the same plan should that rollover amount included in my income?
556,Where can I get the amount of recovery from mortgage interest from a prior year?
251,What are my options as a selfemployed individual?
566,Where is pay reported on my return?
1101,When can I treat Original Issued Discount OID as zero?
602,I have started to receive payments on a note provided by employer as payment for my services What is the tax treatment? 
276,What are the beneficiary rules for survivors or employees and survivors of retirees?
754,When are bonuses or awards considered taxable income? 
1113,What is the difference between the cash and accrual method of accounting
255,What plans are subject to the early distribution additional tax?
1316,What limits how much rental expenses I can deduct?
334,Can I deduct money from social security benefits I receive?
65,If I have more than one pension or annuity plan how should I figure out the taxability of them?
1179,Are most dividends ordinary?
399,What worksheet do I use if I took an exclusion for interest from a qualified US savings bond?
1917,What is the tax treatment of deferred compensation from offshore partnerships? 
1658,How am I taxed on services received if I received the service in an exchange of services? 
341,What doo I do if I am filing a joint return and only one of our net benefits is negative?
896,Can I report uncollected taxes on Form 1040EZ?
268,What happens if my actual distribution in a year is less than the minimum required distribution?
345,What do I do If I have a deduction for my social security benefits of less than 3000?
31,If I receive an eligible rollover distribution can I choose to have tax withheld?
1833,Is worker's compensation taxable?
1261,Is a distribution from a mutual fund subject to tax?
131,How do I make a direct rollover from one eligible retirement plan to another?
1342,What is considered management decisions?
1897,Why would an employer report additional tips? 
466,Are discounted mortgage loans considered canceled debt?
277,How is an annuity treated if it was included in the decedents estate?
1589,Are mortgage payments included in deductions?
461,Which number is the canceled debt figure on my 1099C?
440,Is there a limit on my earnings once I reach full retirement age?
867,What happens if I don't report my tips?
1675,When is my full retirement age?
252,What are the additional taxes on early distributions and excess accumulation for retirement funds?
1923,What income is taxable for members of the clergy? 
1659,What are the tax consequences of owning US treasury bills notes and bonds?
380,Where do I find my amount of gross benefits and repayments?
86,I changed job this year can I transfer my retirement plan to my new employers plan?
1192,Can a Passive foreign investment company be a qualified foreign corporation?
182,What forms may I have to fill out for retirement plans pensions and annuities?
1127,I am in the 10 tax bracket what is my tax rate on Qualified dividends?
106,Are there plan requirements to be able to roll over distributions of aftertax contributions?
982,Are US treasury bills notes and bonds subject to taxation? 
1695,"What parts of social security benefits, when received early, are includable for a non self-employed individual?"
1847,How do I calculate basis in my pension plan?
1688,Is my social security information available online?
55,What are the tax effects if I exchanged an annuity contract for a life insurance or endowment contract?
1347,Can I deduct interest paid on my rental property?
795,What are the contribution limits on elective referrals?
988,Is Original Issue Discount Interest OID required to be included in the taxpayers income? 
1354,Can recording fees from a mortgage be deducted?
1859,Do non-qualified dividends receive tax-preferential treatment?
1805,Are social security and medicare withholdings deductible?
616,What is the 2016 Social Security tax rate and the Social Security Wage Limit?
100,Into what types of plans can I rollover a withdrawal from a qualified retirement plan?
1317,When do I have to include rental income?
955,Is interest stemming from US Obligations taxable?
1792,What are the situations when the original issue discount on my bond not taxable?
1560,What are the tax regulations for clergy housing on their tax returns!
498,How much income do I have to recognize for canceled debt if I am insolvent?
1618,How much of my workers compensation is exempt from taxation?
1384,How to I divide expenses between my vacation home rental?
1341,Do I have to make management decisions to be active income?
1844,"As a landlord, what expenses can I deduct?"
1712,Are qualified adoption expenses included in taxable income?
797,What happens if my contributions or my employers contributions exceed the limits for an elective referral?
47,Can I increase the amount I defer to a qualified retirement plan once I turn 50?
1393,Is travel to my rental property deductible?
880,Should tips not reflected on my W2 be included as income on my return?
1351,What type of mortgage expenses can be deducted?
1934,What are the tax consequences for early distribution of retirement funds? 
662,Under what circumstances would I be taxed on the entire cost of group term life insurance? 
144,What are the tax consequences for withdrawing from my qualified retirement plan before I reach the age of 59 12?
114,How do the rollover rules apply to me if I receive the distribution as a nonspouse beneficiary?
779,What fringe benefits can I exclude from my income?
523,How do I know if I have taxable income from an endowment contract policy?
546,Where can I find more information on S corporations and their shareholders?
651,What is a de minimis minimal benefit? 
640,How are contributions by a partnership to a bona fide partners HSA treated? 
1912,What are the Section 179 deduction limits? 
531,Do I need to complete any forms to claim an exclusion on accelerated death benefits?
41,What risks should I assess before taking a loan from my retirement plan?
377,What if I also receive benefits for my child and the check is in my name?
663,My employers qualified retirement plan provided qualified retirement planning services Do I need to include the value? 
902,Are allocated tips subject to withholding?
1208,When is a dividend payment a return of capital?
445,What age is full retirement age?
1084,What are qualified expenses under the Education Savings Bonds Program?
1366,What is considered an Improvement expense?
1116,How doe the amount of taxable interest income affect which form I use?
1019,How should forfeited interest income be reported?
1115,When do I have to complete a 1040A form?
1190,What are the exceptions to being a qualified foriegn corporation?
360,Are there any benefits for children?
1319,What do I do if I rent and live in the same property?
1572,Does depreciating property effect sales of  property later on?
1119,How do I report tax exempt interest?
962,Are BelowMarket interest subject to information reporting?
703,I am a member of military service What special rules apply? 
319,How do I report benefits not taxable?
477,Where can I find more information on Corporation tax?
1297,What expenses do I have to capitalize?
1731,Is there a way to change who my beneficiary is on my qualified retirement plan?
1691,Where can I see my social secruity benefits online?
675,My employer provides a car for personal use Is this taxable?
735,What are health savings accounts?
132,Can I keep some of a qualified distribution and also roll over some of the distribution into a qualified plan?
209,How are the payments and contributions I made taxed differently than those of my employer?
1606,How does receiving an annuity as part of an estate effect my estate taxes?
1729,Is there tax on dividends received when stock is purchased after declaration date?
696,What is Restricted Stock? What is the tax treatment for ownership? 
174,Can I exclude a rollover distribution from current taxes?
210,Can the total exclusion for my annuity be more than my cost?
740,When do I have to recognize income for work or services rendered?
1380,What can I deduct as a landlord?
809,As a US citizen working for a foreign government what tax liabilities am I subject to?
729,How do withholding allowances affect my income and tax liabilities?
158,Are early distributions from IRAs subject to any tax?
1071,How is interest income treated for jointly purchased bonds where ownership is transferred? 
153,Are some scenarios in which I can withdraw early from my retirement plan without being subject to an additional tax?
613,What is the 2016 Medicare tax rate applied to net earnings from selfemployment? 
1916,Can recourse debt relief produce a taxable gain? 
1793,What is depreciation?
1819,Which retirement accounts can accept rollovers?
1758,Should I report dividend income even if I didn’t receive a 1099?
1133,How do you calculate the Net Investment Income Tax?
1194,Are capital gain distributions qualified dividends?
161,How can I make sure my retirement benefits go to me during my life and not my beneficiaries after I die?
40,Can I use loans from a retirement plan for my childrens college or housing down payment?
713,I retired on disability and receive lump sum payments for accrued annual leave How should I treat such payments?
992,What are the exceptions to reporting OID as current income? 
88,What form should I use to figure out the separate tax on a lumpsum distribution?
87,What are the advantages of transferring my old retirement plan to my new employer instead of rolling it over? 
605,I received accrued leave payment Will this amount be included in wages?
338,Where can I see my total benefits repaid?
916,What are the filing requirements for Foreignsource income?
1715,If I repay my benefits during the year are they still taxable?
1177,I received an ordinary dividend
1518,If my tenants pay me in advance for a couple months in two different years do I have to include that on my taxes? 
170,As a survivor or beneficiary of a pension or annuity plan how do I report distributions?
755,Are costofliving allowances granted by the government considered taxable income?
362,Are SSI Payments included in the amount of benefits received?  
787,When can I exclude any tax liabilities from my groupterm life insurance?
739,Am I allowed to ask my employer to withhold income for a later time?
1296,Can I deduct all of my rental expenses?
1727,What expenses related to a mortgage can be deducted?
1544,Are there any tax penalties for withdrawing from qualified retirement plan before 59 1/2?
361,What is the starting line to determine one-half of the benefits?
709,My accident or health insurance plan was covered through a cafeteria plan Is the amount of insurance premiums included as income? 
1608,Is there a way to deduct estate taxes for an annuity I received as part of an estate?
1591,Do fringe benefits count as income? 
1865,Are reimbursements from a company taxable?
1343,Are there any limits on the special allowance for passive rental losses?
684,My employers 401k and 403b has a qualified Roth contribution program What is a designated Roth contribution? 
1860,Are holiday gifts received from an employer considered income?
1195,Does the US have a treaty with China?
489,Can refinanced loans qualify for student loan forgiveness?
612,What is the 2016 Social Security tax withholding and wage limit? 
44,What are the special rules to determine the limit on my employee elective deferrals?
1254,What is a qualified foreign corporation?
600,A taxindifferent corporation or partnership provides my nonqualified deferred compensation plan What is substantial risk of forfeiture? 
1526,How do I know when to claim my benefits payments? 
443,If I am an early recipient of Social Security benefits what items are included in my income if I am not selfemployed?
363,What form should I be looking for to help determine if I received or paid social security benefits during 2016?
1908,"If my rental expenses are greater in the current year that my income, can I defer there recognition? "
