qid,ParaId
580,21
1188,323
1072,226
15,499
589,28
1378,461
1374,481
1196,323
990,260
869,134
1292,399
344,622
232,549
753,28
748,23
1592,37
1770,517
154,571
1830,14
375,603
525,663
1759,583
122,554
556,675
251,565
566,17
1101,260
602,32
276,584
754,28
1113,276
255,567
1316,431
334,619
65,520
1179,323
399,612
1917,31
1658,636
341,620
896,148
268,577
345,622
31,504
1833,712
1261,343
131,561
1342,474
1897,150
466,641
277,584
1589,481
461,641
440,624
867,134
1675,626
252,566
1923,89
1659,246
380,603
86,536
1192,323
182,493
1127,286
106,545
982,246
1695,625
1847,517
1688,589
55,515
1347,481
795,67
988,260
1354,481
1859,323
1805,33
616,33
100,541
1317,431
955,214
1792,260
1560,89
498,647
1618,106
1384,435
1341,474
1844,403
1712,47
797,72
47,509
1393,415
880,144
1351,481
1934,566
662,54
144,567
114,549
779,50
523,660
546,672
651,50
640,45
1912,461
531,663
41,507
377,603
663,55
902,150
1208,343
445,626
1084,240
1366,432
1116,277
1019,279
1115,277
1190,323
360,603
1319,439
1572,452
1119,277
962,220
703,92
319,606
477,646
1297,407
1731,551
1691,589
675,63
735,5
132,561
209,520
1606,584
1729,323
696,83
174,487
210,520
740,14
1380,403
809,91
729,5
158,574
1071,226
153,571
613,33
1916,643
1793,452
1819,559
1758,285
1133,286
1194,323
161,577
40,507
713,102
992,260
88,536
87,536
605,32
338,620
916,171
1715,603
1177,323
1518,323
170,584
755,28
362,603
787,54
739,14
1296,407
1727,481
1544,567
361,603
709,99
1608,584
1591,37
1865,603
1343,474
684,491
1860,50
1195,323
489,647
612,33
44,508
1254,323
600,31
1526,603
443,625
363,603
1908,466
960,219
51,512
642,45
1425,474
1689,589
619,34
761,32
1027,171
1831,14
416,618
1258,337
159,574
1789,323
121,554
1327,452
545,672
1611,65
766,33
288,590
133,562
1422,483
792,62
386,606
522,660
463,641
882,144
213,524
1631,32
942,205
1607,584
1130,286
233,549
212,524
846,122
1505,166
107,547
1329,466
1783,603
664,55
503,650
92,536
633,42
402,612
1935,21
1656,590
1638,18
497,647
786,54
1330,466
573,18
620,34
1178,323
1878,7
281,589
227,540
1577,23
1639,99
97,539
638,43
1808,387
270,577
823,108
718,104
1241,291
595,28
48,510
1617,106
1587,380
1767,431
727,3
994,260
1217,352
78,527
359,603
474,643
1646,516
1328,452
1514,28
1685,504
303,603
550,675
1536,228
1077,234
1440,383
46,508
243,564
597,28
486,647
1310,424
1876,663
388,606
211,520
1209,343
1181,323
374,603
567,17
1527,603
1388,441
1426,474
1641,134
1315,431
953,213
1910,481
91,536
1779,85
307,603
1500,571
343,622
45,508
940,204
94,537
1887,431
1662,508
946,205
1530,32
870,134
544,672
1754,61
1386,384
448,636
59,517
1573,555
772,39
1849,517
659,54
453,636
77,527
1877,663
674,62
822,108
1879,7
1673,626
1661,508
1417,394
401,612
1681,558
1788,323
923,180
1881,407
1650,507
1090,246
1880,7
317,606
1372,415
287,590
1854,343
1368,413
1517,323
203,516
449,636
1348,481
173,584
747,21
745,19
1508,524
1114,277
1571,452
1321,439
215,524
103,565
285,590
722,108
1840,624
422,619
1304,411
1665,387
1657,636
33,504
1615,578
76,526
804,85
1295,407
484,646
570,17
1502,619
1079,234
1215,352
1383,434
1663,387
496,647
1186,323
563,16
737,7
282,589
1649,507
1279,386
1742,24
1021,279
1590,481
885,144
1376,482
279,589
278,589
1760,583
1817,559
1436,461
1305,411
632,42
816,103
601,32
381,604
220,527
1933,394
1184,323
275,584
1863,50
410,617
1185,323
532,664
559,14
719,104
219,527
378,603
415,617
773,41
475,643
738,9
1858,323
1782,603
1774,481
1545,567
1737,234
245,564
1275,385
721,106
1575,409
1818,559
1421,469
1784,323
438,623
1280,386
1786,323
1511,452
1614,21
1791,260
1216,352
1660,246
1713,603
688,74
1889,606
931,200
502,650
1632,19
783,54
912,160
204,516
1345,474
458,639
1698,144
1183,323
1320,439
672,61
1906,524
1664,387
459,639
1736,234
1325,452
590,28
1291,394
730,5
1763,565
1375,481
644,45
490,647
1432,453
1234,285
1251,323
543,672
677,65
686,72
446,627
1857,323
1781,603
845,122
631,41
925,188
1277,386
1913,214
1588,481
1810,387
1772,481
1206,343
1768,431
1610,65
1287,394
1669,42
1032,180
1862,50
1085,240
1586,380
146,567
471,643
1355,481
313,603
964,220
75,526
999,263
342,620
1298,407
1811,481
1684,220
1670,42
1839,624
1419,427
162,577
1061,220
469,643
1430,461
1082,240
1344,474
813,99
1026,171
1717,72
421,619
702,91
1580,32
714,103
1528,603
1671,407
435,622
26,502
1531,32
1282,387
1761,72
1189,323
1424,481
1012,276
1404,431
1336,474
167,581
1596,499
1408,380
1081,234
726,2
922,173
93,537
72,524
1550,461
1652,643
413,617
254,567
64,520
1725,624
455,639
895,148
1543,527
679,67
551,675
743,17
1323,452
700,89
1126,286
914,168
261,571
115,549
844,122
1290,394
244,564
1898,562
958,219
1651,643
1866,5
117,551
1613,21
43,507
306,603
80,527
899,150
680,67
383,605
1519,323
434,622
1576,409
102,565
1706,5
614,33
1439,405
1389,441
1403,409
561,14
1363,323
480,646
1406,452
814,99
807,90
1932,394
1616,578
1682,558
504,650
414,617
316,606
1031,180
1413,385
720,104
1364,399
866,134
1624,103
1542,527
175,487
1069,226
694,79
16,499
1828,273
1907,323
1057,219
140,565
419,619
74,526
1546,102
930,193
757,31
806,90
661,54
155,571
618,33
1743,24
1063,220
628,41
1547,102
470,643
42,507
588,28
1175,320
689,75
524,660
336,619
1655,590
1925,386
1288,394
1621,412
879,144
1905,5
924,186
1642,561
472,643
1070,226
1697,144
1058,219
1855,323
1340,474
1848,517
387,606
1554,620
1356,481
865,134
1332,466
938,204
109,549
848,122
1037,186
1672,407
1438,461
482,646
50,512
584,23
811,92
315,606
529,663
1846,517
395,612
687,72
1600,343
736,6
898,150
624,37
1535,228
577,20
1309,424
247,564
1311,431
1693,452
168,582
671,61
149,569
810,92
606,32
430,620
819,104
217,526
1191,323
49,511
1357,385
129,559
178,487
521,660
1677,42
770,37
172,584
